,comment
832,也许，有没有一种可能，可以用筋膜枪制墨[微笑]
833,接下来，制纸吧[doge]
834,徽墨诶[喜欢][喜欢]
835,南翔是准备凑齐文房四宝么？
836,笔墨都有，纸砚还会做么？
837,看你冒着折寿的风险宣扬中华文化的份上，这次不白嫖了[热词系列_三连]
838,印有了，墨有了，那笔和纸是不是可以上了
839,果然中国的奢侈品是真的买不起
840,墨和印泥都有了，笔纸砚什么时候做[保卫萝卜_笔芯]
841,差点以为墨能吃[2233娘_汗]
842,匠心不可少，也得与时俱进；文化不可弃，但也得发扬更上一层楼。生产方式的变化使得我们生活中点点滴滴发生了巨大变化。我记得之前看过一部纪录片，说德国的有一家做订书针的小企业特别火，但是一直做不大，原因自己想。
843,御笔猴头，桐烟灰墨，竹笋纸（凤凰衣），龙泉印泥，南翔已经快凑全文房四宝了，点赞！
844,"尬华主题,你让一个996的年轻人下班提笔写字是吧[三星堆]"
845,中国不是没有奢侈品，是奢侈起来你消费不起
846,话说笔（笔笋）、泥和墨都做好了 那接下去是不是该轮到宣纸和端砚了？[doge]
847,up主，这个墨卖吗？
848,所以这就是名人吃墨的由来吗？这么讲究，难怪好吃
849,真是感慨5000年的文化传承啊
850,真是感慨5000年的文化传承啊
851,包被你太厉害了[爱心][支持]多做几期这样的传承文化的，比做吃的更有意义[嗑瓜子]
852,再加一张宣纸，再加一个好毛笔。
853,我们古人是真的奢侈到极致
854,沥干徽墨情难却，捻尽鸾弦梦未同。
855,要不下一次咱做毛笔吧……[脱单doge]
856,华夏文化，源远长。
857,翔瑞青天，留墨香。
858,笔墨纸砚就差砚台了！加油！
859,我原以为要做的是松墨，原来是桐墨[热词系列_知识增加]
860,好像理解了为什么up主每一期都是制作这种……“极其艰难”的东西的原因，因为想要传承中国的传统文化，想要复刻中国几千年源远流长的工匠精神，更是因为对中国传统文化的热爱和想要更多人认识中国传统文化的心
861,什么时候做宣纸和毛笔
862,然后用自己手工制作的来题字
863,印泥和墨都有了，这不找个书法家题题字，宣扬一下传统文化[doge]
864,所以，南翔只要不做饭就不会翻车。这期都做墨了，下期做光刻机吧[脱单doge]
865,两千年前的书法笔画清晰可辨
866,两百年前的独立宣言已经褪色，快成一张黄纸了[抠鼻]
867,@南翔不爱吃饭  既然都有龙泉印泥和桐烟徽墨了，做个澄纸和汪笔不过分吧[脱单doge]
868,今世论墨，惟取其光而不黑，是为弃墨。黑而不光，索然无神气，亦复安用？要使其光清而不浮，湛湛然如小儿目睛，乃佳。
869,南翔会写毛笔字（√）
870,南翔会写毛笔字（√）
871,从龙泉印泥和这一期的墨看得出来南翔真的很认真在弘扬中国传统文化，但书法知识也确实欠缺[脱单doge]
872,文房四宝已经开始了，不如来一个系列呗！湖笔 徽墨(完成) 宣纸 端砚
873,这下期不得做个砚台？
874,笔墨纸都做了下次做砚吧
875,这墨能当传家宝了吧
876,还以为是吃的，没想到是真墨[doge]
877,徽墨加龙泉印泥[热词系列_妙啊]
878,[doge][doge]把那墨宝给我邮寄过来谢谢！
879,啊，竟然是烟灰吗？那正常的墨是用啥做的
880,就是用灰做的不过要看使用的是什么主材料，例如松烟墨就是用松烧的灰制成的，工艺和视频里差不多就是配方有差别。
881,笔墨纸砚就剩砚没做过了，就做块端砚吧[doge]
882,端砚石不是已经不能采了吗【老家在端砚地区周边】?_?
883,有没有一种可能用工业量产。。。先进行大胆假设，桐树籽是否可以机械剥皮(我认为可能性很大，参考我爱发明)，然后捻碎，榨油更不用说了，工业强项。然后油灯烧灰(不知道不烧绳直接烧油会不会有同样效果)，一个大的底盘在放上面烧，上面放等大的瓷盘(或者玻璃？钢板？应该也可以)，弄一个等长的铲子链接一个收集的小盒子，程序设定或者有一个人看着差不多就收集一次。每收集一次就到在一端的水池里洗，工人用长杆工具进行清洗和收集，最后药水批量生产和锤墨也是工业强项，随便一个汽锤效率也很高。。对工业没那么了解，仅从up视频里的流程，我觉得工业量产是没有问题的，就算产量不高，但也绝对没up这么累才做一个。唯一的问题的写字的人少了，销量上不去那就是亏本买卖。或者单价极高，当奢侈品卖，卖一个的的价钱就能能让机器启动一次。
884,下一步是不是该造乾隆纸了
885,印泥和墨用的人还很多，失传主要是用不起
886,松烟入墨
887,墨、毛笔、印章都有了……
888,所以下道菜就做宣纸吧，要最好的那种
889,舍本逐墨
890,墨得存个几年才能用
891,所以古代的墨能吃是真的了
892,中国不是没有奢侈品，奢侈起来太费命
893,有墨有印泥，差毛笔和宣纸
894,嗯，有问题就问，墨，印，是啥？
895,笔墨纸砚印，已经做了两个了，什么时候把剩下的做完
896,好耶！是徽墨[给心心][给心心][给心心]安徽人狂喜
897,下一期是龙泉宝剑吗？
898,直到提起笔那一刻我一直以为最后是作为食材的，是在下肤浅了[热词系列_知识盲区]
899,有了徽墨，是不是考略一下宣纸，狼毫，和端砚？
900,[思考][思考]“笔墨纸砚”就差纸和砚什么时候复刻？
901,可以参考下彭传明的做墨视频，就知道一块好墨制作有多难了
902,墨泥都有了是不是差个宣纸和毛笔？
903,笔墨纸砚，文房四宝，来吧
904,纸笔墨砚，不做全可不好哦[doge][doge][doge][脱单doge][脱单doge][脱单doge]
905,原来墨是烟灰做的！！我才知道[哦呼]
906,我就想知道这个墨的味道怎么样
907,这不等凑齐文房四宝之后找位大师提个字
908,比龙泉印泥还要难做的桐烟徽墨。
909,这玩意在古时候制作需要一群人开才行吧？就以南翔的20盏灯为例，一盏灯一个人看，桐油都是民间有大量的专门作坊，最后的十万杵肯定是五六个人像打年糕一样锤，所以翔哥咋不找朋友嘞[吃瓜][滑稽][滑稽][滑稽][滑稽][滑稽]
910,这不是最好最贵的墨，最顶级的墨是南唐李廷珪墨
911,中国的奢侈品不是外国一个牌子货能比的
912,中国的奢侈品不是外国一个牌子货能比的
913,直到磨墨了我才敢肯定这不是吃的[笑哭]
914,笔墨纸砚的神仙极品不不出个系列
915,墨从做完到阴干要一两年吧……用的应该不是刚做的那块
916,南翔先生，这个卖不卖，还有京墨能不能做啊[微笑]
917,印泥链接BV1Bd4y127mh
918,好的文房四宝非常昂贵，单是所用的西泠印社的印泥都是论克卖的，我常用的一两印泥大概在300左右，印泥用的两是古制十六两一斤，所以就30克，每克10元，而所用的毛笔我一直用的是鸡距笔，纯手工做，墨与纸也都价格不菲，均是老字号纯手工，只是俺的字略差，有点浪费这些东东，对了，我还好玩印章，经常买点鸡血石和青田石料，偶尔自己也刻一两枚，上次点了下单是在微拍堂买章料去年的花费，有200多单，总价格超过了5万
919,等笔墨纸砚结束，是不是就可以开始琴棋书画了
920,都有墨和印泥了，文房四宝剩下的也整齐了吧(=?ω?=)
921,干脆做一期文房四宝
922,不懂就问，这个制墨up的步骤和彭传明的一样为什么不用阴干和晒干呢，彭传明那个制墨时间跨度超长的下面那个是视频
923,宣纸和毛笔再安排一下[脱单doge]
924,建议下期制作宣纸
925,幸亏你不造纸
926,笔墨纸砚还差仨呐，印泥只能算是做四送一那个送的[妙啊][妙啊][妙啊]
927,实在想不出古人是怎么搞出来的
928,下次做宣纸，下下次做毛笔，砚有机会挑战一下，这样南翔或者文房四宝成就
929,宝，圆圆已投，下一期我想看湖笔[星星眼][星星眼]
930,什么时候造纸，雕砚，制笔[脱单doge]
931,用桐烟微墨随便画个圆，再龙泉印泥盖个章都能价值几千吧[doge]
932,这个墨是不是能吃?
933,墨和印泥都有了，下次不得把毛笔和宣纸做了？
934,回复 @平凡的中华子民 :用吃的毛笔这可还行[doge]那不得再做一根专门写字的“贺莲青”[doge]
935,BV1TT4y1D7tw，毛笔他早就做过了，好像还差个宣纸
936,笔：御笔猴头；墨：桐烟徽墨；纸：笋纸；砚（暂无）；印泥：龙泉印泥[脱单doge]
937,可以试试松烟墨[doge]
938,嗯…，纸不错。
939,下一次是不是要制纸了？？？@南翔不爱吃饭
940,做饭的厨子用半条命做出来的墨[点赞][点赞][点赞]
941,看着加的东西，这种手工墨是可以吃的，古代不是有人吃过吗？
942,龙泉印泥几号视频[吃瓜][吃瓜]
943,我老婆就爱写字，曾经买了块墨挺贵的，我还纳闷为啥这么贵，今天知道了[笑哭]
944,讲道理墨并没有那么难做。。。新徽墨现在发展得挺不错的
945,我老婆就爱写字，曾经买了块墨挺贵的，我还纳闷为啥这么贵，今天知道了[笑哭]
946,讲道理墨并没有那么难做。。。新徽墨现在发展得挺不错的
947,好家伙，这毛笔字写的，厉害
948,要不凑个笔墨纸砚
949,虹关何处落徽墨[委屈][委屈][委屈]
950,赶紧把俺收了的毛笔拿出来练
951,你把朋友当消耗品，这次做墨没朋友了吧。
952,那啥，有个叫彭传明的up，自制了笔墨纸砚，他自己用的
953,下期做笔和纸吧[doge]
954,我想想，御笔猴头，徽墨，纸砚安排一下，印的话有龙泉印泥了
955,下期印泥安排上[辣眼睛]
956,墨都做了，剩下的文房四宝还不都做一遍
957,笔墨纸砚，南翔这是准备复刻文房四宝？[星星眼]
958,不爱吃墨[藏狐]
959,造过纸了吗？
960,墨有了，笔，纸，砚还远吗？宣纸，狼毫，徽砚搞起
961,笔墨纸砚   墨好了  印也有了  其他的呢[doge]
962,救命我get了南翔的帅点，好像小虎队里面苏有朋，好帅，毛笔字也好好看！[喜欢][喜欢][喜欢]
963,我可以做笔替，[doge][doge][doge][doge][doge]
964,救命我get了南翔的帅点，好像小虎队里面苏有朋，好帅，毛笔字也好好看！[喜欢][喜欢][喜欢]
965,我可以做笔替，[doge][doge][doge][doge][doge]
966,什么孩童不知墨印为何物 我是学书法的
967,[鼓掌]原来真的是墨我还以为又是什么神仙名菜
968,想起了李廷珪的廷珪墨
969,一两徽墨一两金
970,原来真的是墨，我还以为是某种传统小吃，还纳闷那么多烟灰要怎么做才好吃[囧]
971,那就是用(龙泉印泥)
972,在此之间你只能用毛笔写
973,学习新知识，争做文化传媒人，大家好，他是今天的匠心人，南翔[打call][打call][打call]
974,南翔，你能不能做一次珍泉印泥我们小组想用你的资料做汇报
975,南翔终于不做菜了，这是从饮食界向文化界发展了吗[思考]
976,我以为今天你吃墨[脱单doge][脱单doge][脱单doge]
977,湖笔和端砚啥时候也安排上[脱单doge][脱单doge][脱单doge]
978,好家伙，为了这块墨，你差点成历史。
979,木犀煮泉漱寒齿，残滴更将添砚水。
980,子规乡里桐花烟，浣花溪头琼叶纸。
981,笔墨纸砚都要来一遍吗！太励志了！
982,旁边的印用的是龙泉印尼吧[热]
983,直到他写字我还以为这个墨能吃。。。
984,我想知道那幅毛笔字写了多少次[doge][doge]
985,我的这个比龙泉印
986,和龙泉印泥比比效果？
987,每次看到这种古代的好东西被复刻出来就有一种隐隐的自豪[给心心]古人真的很智慧
988,这怎么着也是个 制墨仙人[脱单doge]
989,都是文化人，中个文房四宝不过分吧[吃瓜]
990,[色][色][色]文房四宝啊，我老婆最爱了
991,文房四宝不错[good]
992,我想重新拿起笔练字[嘻嘻][嘻嘻]
993,钢笔[色]
994,文房四宝[good]
995,感觉自己很久没写过毛笔字了[doge]
996,你真的不爱吃饭了么？转文化产业了[笑cry]
997,传统文化传承人
998,南翔你可以用自己头发做毛笔
999,[作揖][作揖][作揖]以后你可以写一本书，把所有这些经历和制作过程都写下来[赞][赞][赞]铁定赚钱??[666][666][666]
1000,手艺越来越精
1001,要不直接买支笔来拆开了，再装[笑而不语]
1002,看到羊??怼南翔那里真的[笑cry]，看到后面以后是真的震撼，原来一支毛笔也有那么多工序，[跪了][跪了]
1003,结束的猝不及防  以为会写个毛笔字作为结束
1004,最后第二支看起来是支好笔!
1005,我觉得南翔穿越回古代绝对饿不着
1006,认真学穿回古代种田文里能用上的技能
1007,为什么你每次制作总是要钱或要命？
1008,咱们不能直接买一支笔，然后再装进去，然后再重新装进去不就
1009,#传承# 【90后守护传承千年宣纸制作工艺[赞]】宣纸产于安徽泾县，是中国传统的古典书画用纸，文房四宝之一。
1010,传统文化传承人
1011,[作揖][作揖][作揖]以后你可以写一本书，把所有这些经历和制作过程都写下来[赞][赞][赞]铁定赚钱??[666][666][666]
1012,都是文化人，中个文房四宝不过分吧[吃瓜]
1013,[色][色][色]文房四宝啊，我老婆最爱了
1014,文房四宝不错[good]
1015,我想重新拿起笔练字[嘻嘻][嘻嘻]
1016,文房四宝[good]
1017,感觉自己很久没写过毛笔字了[doge]
1018,中华不是没有奢侈品，只不过是太贵了，没人愿意用[笑哭]
1019,我打算了，我要去考书法九级
1020,这才真是奢侈品
1021,这才是最高级的奢侈品[吃瓜]
1022,书法人泪目
1023,我会书法，但是让我震惊的是南翔竟然为了这个去练书法了。
1024,已经成顶级奢侈品了 懂了吗就不是普通人搞得玩意，普通人想着怎么活下去就已经是倾尽全力了
1025,知道书法生有多馋这个吗？
1026,这才是真正的奢侈品！
1027,外国奢侈品玩的大多是品牌效应
1028,什么叫奢侈品…所以那些量产得奢侈品品牌，配吗？
1029,奢侈品
1030,这才叫奢侈品
1031,其实不算奢侈品，因为没有暴利[辣眼睛][辣眼睛][辣眼睛]
1032,冲书法投币点赞了！
1033,看！这个小伙要从美食区转去书法区/废命区了
1034,他要转去书法区了
1035,书法区新人
1036,书法爱好者慕了
1037,小学上过书法课的集合！
1038,今天我才去上了书法呢，当然我是个初学者
1039,书法写得不错
1040,一个美食博主需要多才多艺，书法需登大雅之堂，厨艺可下得厨房。挺厉害的
1041,唱戏、书法、陶瓷、茶艺等都是老祖宗们千年得下的传承
1042,南翔书法可以呀[支持][支持]
1043,书法用品来了，那布料还远吗？[滑稽]
1044,国外奢侈品：费钱
1045,国内奢侈品：废命
1046,你用40个碗来收集啊。。不然你搜集灰时候都浪费了唉！
1047,南翔大哥你缺一个副手[tv_doge]
1048,科技的发展本来就要摒弃很多东西，不合时代的都会被淘汰
1049,你别把自己累死了，招个小工吧。
1050,[小电视_赞]
1051,[热词系列_三连]
1052,小时候和3个盆友吃这个吃中毒了。。。[热]
1053,视频很好，只是你这个字。。。
1054,@憨汁橙的三行诗
1055,太繁琐了！古人挣钱真难！
1056,写过毛笔字更能知道墨有多重要，[支持][支持][支持]
1057,中华不是没有奢侈品，只不过是太贵了，没人愿意用[笑哭]
1058,看过一个做墨的穿越小说，当时就觉得古代匠人真的牛批！！！[点赞]南翔也牛批！[点赞]
1059,非常棒…字再练练[呲牙]
1060,南翔，墨有了，印尼有了，还差纸啊[滑稽]
1061,南翔你的好朋友呢[吃瓜]
1062,南翔你的好朋友呢[吃瓜]
1063,怎么这么像光遇的火把[脱单doge]
1064,这个和要吃虾子血做的毛血旺异曲同工
1065,我打算了，我要去考书法九级
1066,难，你想想最后你能卖多少钱呐。太值了都赶上渔民出海了.那要命，你有危险吗
1067,这不是普通的泥，这也不是王维诗里边的泥，这是王维诗佳李白里边的泥
1068,南翔已经叫不来朋友了[大哭]
1069,Up主太厉害了，一定要注意身体啊～太累了，看着都累
1070,别人拍视频费钱南翔拍视频费命又费钱，所以哪天南翔突然不更新了也能理解，很可能是突然挂了[doge]
1071,真的太厉害了
1072,所以不是中国没有奢饰品，是国外的奢饰品根本不能与之相比
1073,100斤桐子＝5斤油＝1斤灰＝一块墨
1074,你可以复刻一下少年锦衣卫里面的那个莲花玩吗？东西觉得挺有挑战性的，而且材料也不贵
1075,开头:这不是一块普通的泥，这是王维诗的你泥
1076,@-清纯美貌男高中生-
1077,直接关注投币[doge][支持]
1078,中国的奢侈品是真的奢侈，他的手艺，它的复杂，真的不是一般能做的（｀Δ?）！中国现在很多文化都要淘汰了，但他们淘汰的原因并不是因为他们不好，而是因为我们现在太懒了，想复杂了，或许到未来就没有什么所谓的工匠精神了吧？我希望这些手艺不要失传，但如果真的不得已要失传，希望能留下一个制作的方法，但是很多手艺光有方法没用，为什么呢？因为它需要靠的是艺人的手感和记忆！[热词系列_锤]
1079,有没有一种可能，匠人呐，人不是一个人做的，可以轮着来[doge]
1080,我来只是为了看看九月有没有哔哩哔哩号[脱单doge]
1081,文房四宝你就差纸和砚了，继续，加油[滑稽][滑稽][滑稽]
1082,不敢催，
1083,大家别喷我，我只想问一问，做一块墨。。。它值得吗。。。。
1084,哈哈 中国的传统艺术品基本都是有钱人玩的东西
1085,这才真是奢侈品
1086,致敬
1087,绝了
1088,你还记得你是一个美食博主吗？
1089,这墨一块得卖多少钱才能回本啊？
1090,所以古代读书真的很贵
1091,这种墨至少要阴干半年才能使用的[微笑][微笑]
1092,笔墨纸砚，国画诗字
1093,这才是最高级的奢侈品[吃瓜]
1094,不来一套，当真有点可惜[吃瓜]
1095,三连了，制一块好墨居然如此繁琐难得，谢谢你让我看到了这个过程
1096,书法人泪目
1097,南翔的家境是个谜[tv_doge]
1098,真的，小学的时候还能练个毛笔字，上个书法课，但是现在连个书法社团都没有
1099,南翔，你这已经不是美食区up主了，你是匠人区up主
1100,所以什么时候从饭转到泥来的?
1101,唐僧扫塔
1102,太假掰[翻白眼]
1103,我会书法，但是让我震惊的是南翔竟然为了这个去练书法了。
1104,下期是不是该毛笔了
1105,它卖那么贵是有原因的！就这工序都值
1106,《南翔不爱吃饭》[doge]
1107,《南翔我啊是出了名的朋友多》[doge][doge][doge]
1108,我还以为是做吃的，这东西真的能吃吗？[笑哭]
1109,好一个天道酬勤[doge]
1110,突然间想起之前的油烟墨，就是农村里面大锅灶烧的那种锅底灰，跑了村里面，用了好多家，铲了好多个锅，就一小罐，毕竟现在用大锅烧柴很难找了
1111,做墨肯定是不够的，最后用来画壁画了
1112,古法制墨要一年吧
1113,提问:美食区到底是怎么卷起来的?(费钱费命，单纯疑问，没有恶意)
1114,然而这玩意起码要阴一年以上才是上品！
1115,看到剥桐籽至天黑下来那瞬，我呜啊就哈哈哈哈笑出来了，给你两个币鼓励鼓励，好努力的南翔
1116,乌金千秋照
1117,老家江西的外公做墨是用松做的墨  经常做然后常年吸入烟什么的今年中秋就走了  唉看到这个真的要做好防护啊[无语]
1118,不得不说，最后写的杜甫能动写的挺好[吃瓜]
1119,这手一个星期洗不干净
1120,南翔越来越全能啦[妙啊]
1121,才写过徽墨的阅读[doge][doge]
1122,朋友呢
1123,这玩意也就是奢侈品 又贵 用起来又费劲 孩子学墨水兑水就完了几十块一大瓶 学完还b用没有   不建议学 因为真的b用没有 不如学学钢笔字 即使不用钢笔 用圆珠笔也能写一手好字 这玩意才是真的实用的
1124,不太懂啊，烟灰不就是碳氢化合物燃烧不彻底导致的，用得着这样做吗？
1125,主要还要阴干一年
1126,说实话，这个制作工序我觉得，可以机械化[辣眼睛]
1127,南翔这回做的墨是可以直接当做药墨用的，也就是说能吃，所以还是美食区[笑哭]
1128,可以去集市里打菜籽油桐子油的地方帮忙打吗？
1129,牛
1130,做墨最好的胶是鹿角胶来着，做出来的墨比较清透，还有南翔你不做淡墨扩散我们怎么看墨的好坏啊[傲娇][傲娇][傲娇]
1131,这是又作什么妖
1132,@小宇菇菇 你快来做这个东西吧
1133,也不是炭粉么
1134,南翔一定是穿越到古代一定也不会穷到那种人
1135,南翔不是美食博主吗 已经发展这么广泛了吗[微笑][微笑][微笑] 看了南翔的视频 觉得自己真是来人家凑数的
1136,吃过桐籽的路过，小时候不懂事，现在看到桐籽胃还是会条件反射的不舒服，但是看到这个墨居然是它的油做的，up真的是太牛了
1137,我勒个妈呀，我居然不知道他会写毛笔字
1138,刚开始看觉得“哇做这个好辛苦”，但转念一想“为什么不熄灭灯然后休息啊——酒精灯怎么熄灭那这个就怎么熄”
1139,也是给了南翔一个三连好吧！
1140,还是北太好啊[妙啊]
1141,我要是有你一半的钱，你做过的菜我全都能做[doge][doge]
1142,我非常的想知道冰片你是哪儿来的？
1143,工匠精神啊！up主真的好棒
1144,你是美食up主诶
1145,可以，建议给日本好好学习
1146,再次感到中华文化，历史悠久，应渊远留长
1147,文化传承需要每一个人都去做～加油！
1148,这个作者居然还没有穷
1149,这个我记得是美食博主[微笑][微笑][笑哭]
1150,美食up主反手变成败家子up主
1151,我是大气办的，你这个环保措施有吗？[doge]
1152,入药的墨不能用油墨
1153,松墨才可以
1154,?王
1155,南翔，龙须饼来一个，你会很绝望的
1156,再来块顶级松烟呗[doge]
1157,不投币感觉对不起你的手
1158,我在想，既然是碳灰，我想能不能用步骤简化，比如桐油，含水量低可以自己加水嘛，收集灰，用静电除尘设备试试，或者直接用纳米级碳颗粒试试？[妙啊]
1159,唯一一个从美食博主到历史博主的人。本来是做美食的，结果补全了历史上的上百道菜[笑哭][笑哭]
1160,我真的好怕你做着做着，突然翻车了
1161,这玩意买回来堆一起让他烂外壳，看壳手戳下软了直接拿把小刀撬一下就出来了，取仁直接拿你那个榔头捶出来，不用手直接剥啊
1162,@半截诗123 美食区up主竟然是！
1163,牛逼
1164,所以，这回南翔怎么没请朋友来，是没了么[doge]
1165,？？？？他不是美食博主吗
1166,古代京墨是可以入药的，现在的墨就不行了
1167,南翔怎么不爱吃饭了
1168,卧槽，在B站刷到你了[喜极而泣]以前在QQ浏览器刷到过，然后QQ浏览器广告太多就卸载了，没想到还能遇到[给心心]
1169,我愿意称你为牛逼up
1170,那个我想说，敲十万杵，能不能制作一个机器呀！还有拨那个果实应该也可以用机器。就在收粉和调制，最后造成，用手工，是不是可以节约很多时间[害羞]
1171,三爷了
1172,作为一个书法生，真的感谢阿婆主宣传我们中华传统文化 ，我们这些专业学习的学生也会努力，一代一代的将它们传承下去[加油]
1173,车尾气 发动机积碳 是不是能做现代墨[doge]
1174,[三星堆]
1175,感动，南翔太厉害了[鼓掌]
1176,三连了
1177,龙泉印泥，徽墨，感觉他把这个珍藏起来，百年之后他手中的这两样东西会变成无价之宝
1178,牛
1179,这个字，我太喜欢了
1180,中国不是没有奢侈品，是奢侈起来就没别的什么事了[支持][支持][支持]
1181,@@南翔不爱吃饭 张师傅让你做龙须面[doge]3万多根[微笑]
1182,666
1183,比登天还难，那你都做出来了，可以登天吗？
1184,中国的奢侈品真搞出来就没那欧美所谓的奢侈品什么事了，不过我觉得中国不需要奢侈品，国宝不是拿来卖的，拿来卖感觉就是生意。
1185,喜欢B站的氛围，抖音的评论都模式化了。全都是‘南翔和唐尼的区别，一个是吃遍人间美味’一个是吃遍人间霉味‘，‘全网就南翔赚钱我不眼红’
1186,其实，中国古代，有些高级的墨，是甚至可以当做药要用来救命的。
1187,污染环境，坚决抵制，不点赞。
1188,？
1189,？？？nb
1190,你管这叫美食区？[doge]
1191,谁发明的，太强了
1192,等等，你不是美食up主吗？
1193,还以为要修仙[笑哭]
1194,李子柒也做过类似的好像
1195,目前能工业化制造吗？
1196,怎么我换个软件还能看到他[呆]
1197,突然觉得，用现代工艺还原古奢侈品会是一个比较好的系列点子，让困难的古代工艺感受一下现代工艺的降维打击
1198,从美食到文化，这就是艺术吗？
1199,我是第37.1000万个赞
1200,我笑了，大家[呲牙][吃瓜]
1201,额，墨块成型之后不是应该放置一年吗。。。
1202,我记得你以前是美食博主的呀[微笑][微笑][微笑]
1203,这是美食博主？？？[捂脸]
1204,之前看过制墨的小说，真的很感动
1205,222.2万粉丝[doge]
1206,不科学啊！这扫灰的熬神废命活儿居然南翔没有叫朋友帮忙替班？[脱单doge]难道说……已经没有朋友可供消耗了？[脱单doge]
1207,话虽如此，不过这一期是真的走心！文案也满分！
1208,兄弟们投点币吧，真心觉得南翔这几期视频投入的太多了[笑哭]
1209,兄弟们投点币吧，真心觉得南翔这几期视频投入的太多了[笑哭]
1210,牛哇[打call]
1211,好厉害
1212,我本以为你是一个美食up主，没想到你也是一个文化up主
1213,这玩意。能吃吗？桐油如果能吃的话。这应该能吃
1214,必须三连[原神_喝茶]
1215,太不容易了
1216,古人到底怎么想的，为什么要这么干
1217,所以能吃吗？
1218,相比这个，我更想看到将这个工艺现代化工厂化的技术。
1219,我想成为你的怨种朋友，就是想参与[口罩]
1220,不给个一键三连都不好意思看了[呲牙]
1221,看来朋友好像确实用完了。
1222,为什么昨天没看到，考完教资看到了淦哦，完美切题好吧
1223,@空滴提 这不是普通的泥 这是王维诗里的泥??
1224,古人字画流传千古 其中奥妙多少人懂了
1225,上个视频是做了一个月的巧克力鸽子
1226,必须点赞????
1227,你不是个美食区的up吗？[思考][思考][思考]
1228,不加龙延香？
1229,看了这么多期，，，今天才注意到，我还没有关注[滑稽][滑稽]
1230,美食区up都卷成啥样了
1231,跟不上时代的东西就该被淘汰，可惜啥？
1232,但凡还有一丁点优势区间，都不至于失传，只可能是被工业批量化生产出来的东西全方位碾压了。
1233,@祁么么mo 买过来写个字
1234,up主不应该是美食吗[脱单doge]
1235,现代墨锭制墨分机器点烟和人工点烟，机器点烟的就相对平价多了，但颗粒感也强。一两墨锭售价400多一点不奇怪的
1236,不是受命于天，既寿永昌？[脱单doge][脱单doge]
1237,up不是美食区的吗？[笑哭]
1238,这下一步不整个宣纸[脱单doge][脱单doge]
1239,厉害
1240,哈，不能吃[脱单doge]
1241,中国的奢侈品比外国好多了
1242,兄弟，我很好奇你是怎么活下来的[doge]
1243,白嫖那么多期，终究还是要还的[傲娇]
1244,不是美食区up主吗？怎么成了匠人区[脱单doge]
1245,看你累成这样给你个币
1246,中国的奢侈品真是奢侈品，外国的奢侈品卖的只是牌子罢了，就是智商税，在商场中买的所谓国际名牌，说不定就是在当地的工厂生产的，而且成本估计就十几二十块
1247,做菜啊为什么不做
1248,这不是一颗普通的红豆，这是王维诗里的红豆
1249,哦豁，在中学生语文同步精练六年级上册的64页，有一个《中国墨》，我一直想看这个视频步骤，没想到在蓝翔这里能看到，
1250,南翔做东西不是要钱就是要命[doge]
1251,每次的视频都很好
1252,每天闲出屁，敢烧点火漆印章，你就可以拥有??????
1253,建议up，把露出来的灯芯弄长一点，黑烟会多的多
1254,你找小宇菇菇[脸红]
1255,你反思一下为啥只能自己剥，之前干过什么事心里没点数嘛[doge]
1256,下期做宣纸，下下期做毛笔
1257,为什么做出来不吃啊？[doge]
1258,这个有没有可能做机械化量产[思考]
1259,up主辛苦了
1260,这期的节目是《一条命VS烟灰的战争》
1261,所以这玩意衰落不是没有理由的……
1262,数学小子牛X
1263,花钱请个工具人吧
1264,正宗的还要在晾房里晾上半年[脱单doge]
1265,冰片是毒品
1266,虽然但是，字不能看[笑哭][笑哭][笑哭]
1267,|-|
1268,语文试卷刚做这个
1269,下次做个毛笔或者宣纸吧！最好再练个书法，真的好好的，然后再写一副字，这配置。[滑稽][滑稽][滑稽]
1270,下次做个毛笔或者宣纸吧！最好再练个书法，真的好好的，然后再写一副字，这配置。[滑稽][滑稽][滑稽]
1271,去弄点导电用的碳纳米管试试
1272,太牛逼啦[给心心][喜欢][给心心][喜欢][给心心][喜欢]
1273,内容很棒很棒，就是希望能少加一些搞笑向的短视频特效音效，真的很突兀，太影响观感了[张AiNi和老E_哭哭]
1274,建议做个甜甜花酿鸡，原神名菜[热词系列_三连]
1275,难怪摸好贵
1276,印有了，墨有了，笔好像有一个用猴头茹做过，只差纸了[脱单doge]
1277,哇，真的是好复杂啊！太强了[热词系列_你币有了]
1278,可以看龙须酥嘛
1279,虽然这墨很好，但是我就想问一下，这和普通的墨除了贵有什么区别？（单纯好奇）
1280,j
1281,大富翁
1282,淘汰的很有道理[藏狐]
1283,我还以为他会从种桐树开始[doge]
1284,哪有露天采烟的，而且这灯焰太大了烟会过粗。制墨所需烟料和胶都需要陈放几年以上才能做好墨。
1285,赞了好久的币，给你了
1286,还是和书法区联动一下吧，这字配不上这些工序
1287,配方发出来用了多少啊??????
1288,一键三连了。
1289,你直接买桐油不香吗？
1290,救命，他真的不爱吃饭
1291,其实吧墨没有人愿意做 这很正常，在古代吧没有别的可以书写 只能用墨来写没有更好的选择，工匠 其实他也不一定想做，因为这真的太费人了，就观看这个up主就可以知道这到底有多废人，而现在呢有更好的可以代替墨 所以也没有必要去做，老祖宗传下来东西不一定全要保留着，毕竟老祖宗传下来的东西是为了让人方便，有更方便的东西 也就没有必要使用它了
